label,x,y,z
498,1.6566336,0.0,0.0
499,1.7065346,0.0,0.0
500,1.7564356,0.0,0.0
501,1.8063366,0.0,0.0
502,1.8562376,0.0,0.0
503,1.9061387,0.0,0.0
504,1.9560395,0.0,0.0
505,2.0059407,0.0,0.0
506,2.0558417,0.0,0.0
507,2.1057427,0.0,0.0
508,2.1556435,0.0,0.0
509,2.2055445,0.0,0.0
510,2.2554455,0.0,0.0
511,2.3053465,0.0,0.0
512,2.3552475,0.0,0.0
513,2.4051485,0.0,0.0
514,2.4550495,0.0,0.0
515,2.5049505,0.0,0.0
516,2.5548515,0.0,0.0
517,2.6047525,0.0,0.0
518,2.6546535,0.0,0.0
519,2.7045546,0.0,0.0
520,2.7544553,0.0,0.0
521,2.8043563,0.0,0.0
522,2.8542573,0.0,0.0
523,2.9041584,0.0,0.0
524,2.9540594,0.0,0.0
525,3.0039604,0.0,0.0
526,3.0538614,0.0,0.0
527,3.1037624,0.0,0.0
528,3.1536634,0.0,0.0
529,3.2035644,0.0,0.0
530,3.2534654,0.0,0.0
531,3.3033664,0.0,0.0
532,3.3532674,0.0,0.0
533,3.4031682,0.0,0.0
534,3.4530692,0.0,0.0
535,3.5029702,0.0,0.0
536,3.5528712,0.0,0.0
537,3.6027722,0.0,0.0
538,3.6526732,0.0,0.0
539,3.7025743,0.0,0.0
540,3.7524753,0.0,0.0
541,3.8023763,0.0,0.0
542,3.8522773,0.0,0.0
543,3.9021783,0.0,0.0
544,3.9520793,0.0,0.0
545,4.0019803,0.0,0.0
546,4.0518813,0.0,0.0
547,4.1017823,0.0,0.0
548,4.1516833,0.0,0.0
549,4.2015843,0.0,0.0
550,4.2514853,0.0,0.0
551,4.3013864,0.0,0.0
552,4.3512874,0.0,0.0
553,4.4011879,0.0,0.0
554,4.4510889,0.0,0.0
555,4.5009899,0.0,0.0
556,4.5508909,0.0,0.0
557,4.6007919,0.0,0.0
558,4.6506929,0.0,0.0
559,4.7005939,0.0,0.0
560,4.750495,0.0,0.0
561,4.800396,0.0,0.0
562,4.850297,0.0,0.0
563,4.900198,0.0,0.0
564,4.950099,0.0,0.0
565,5.0,0.0,0.0
566,5.049901,0.0,0.0
567,5.099802,0.0,0.0
568,5.149703,0.0,0.0
569,5.199604,0.0,0.0
570,5.249505,0.0,0.0
571,5.2994061,0.0,0.0
572,5.3493071,0.0,0.0
573,5.3992081,0.0,0.0
574,5.4491091,0.0,0.0
575,5.4990101,0.0,0.0
576,5.5489111,0.0,0.0
577,5.5988121,0.0,0.0
578,5.6487126,0.0,0.0
579,5.6986136,0.0,0.0
580,5.7485147,0.0,0.0
581,5.7984157,0.0,0.0
582,5.8483167,0.0,0.0
583,5.8982177,0.0,0.0
584,5.9481187,0.0,0.0
585,5.9980197,0.0,0.0
586,6.0479207,0.0,0.0
587,6.0978217,0.0,0.0
588,6.1477227,0.0,0.0
589,6.1976237,0.0,0.0
590,6.2475247,0.0,0.0
591,6.2974257,0.0,0.0
592,6.3473268,0.0,0.0
593,6.3972278,0.0,0.0
594,6.4471288,0.0,0.0
595,6.4970298,0.0,0.0
596,6.5469308,0.0,0.0
597,6.5968318,0.0,0.0
598,6.6467328,0.0,0.0
599,6.6966338,0.0,0.0
600,6.7465348,0.0,0.0
601,6.7964358,0.0,0.0
602,6.8463368,0.0,0.0
603,6.8962379,0.0,0.0
604,6.9461384,0.0,0.0
605,6.9960394,0.0,0.0
